<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CNYRUB_TOM,D,03/01/20,00:00:00,8.8840000,8.9260000,8.8840000,8.8840000,2233000
CNYRUB_TOM,D,06/01/20,00:00:00,8.9260000,8.9380000,8.8680000,8.8680000,1310000
CNYRUB_TOM,D,08/01/20,00:00:00,8.9299000,8.9319000,8.8680000,8.8761000,920000
CNYRUB_TOM,D,09/01/20,00:00:00,8.8780000,8.8780000,8.8226000,8.8586000,180821000
CNYRUB_TOM,D,10/01/20,00:00:00,8.8345000,8.8739000,8.8081000,8.8440000,81655000
CNYRUB_TOM,D,13/01/20,00:00:00,8.8525000,8.9059000,8.8249000,8.8901000,98200000
CNYRUB_TOM,D,14/01/20,00:00:00,8.8990000,8.9300000,8.8990000,8.9242000,66790000
CNYRUB_TOM,D,15/01/20,00:00:00,8.9160000,8.9552000,8.9011000,8.9259000,57253000
CNYRUB_TOM,D,16/01/20,00:00:00,8.9100000,8.9779000,8.9100000,8.9719000,46493000
CNYRUB_TOM,D,17/01/20,00:00:00,8.9880000,8.9919000,8.9294000,8.9621000,32304000
CNYRUB_TOM,D,20/01/20,00:00:00,8.9740000,8.9765000,8.9560000,8.9759000,227390000
CNYRUB_TOM,D,21/01/20,00:00:00,8.9550000,8.9719000,8.9400000,8.9400000,129688000
CNYRUB_TOM,D,22/01/20,00:00:00,8.9585000,8.9842000,8.9485000,8.9537000,77118000
CNYRUB_TOM,D,23/01/20,00:00:00,8.9611000,8.9611000,8.9300000,8.9416000,96959000
CNYRUB_TOM,D,24/01/20,00:00:00,8.9425000,8.9680000,8.9057000,8.9680000,41273000
CNYRUB_TOM,D,27/01/20,00:00:00,8.9550000,9.0359000,8.9300000,9.0120000,13977000
CNYRUB_TOM,D,28/01/20,00:00:00,9.0300000,9.2940000,8.9461000,8.9461000,45641000
CNYRUB_TOM,D,29/01/20,00:00:00,8.9550000,9.0184000,8.9528000,8.9900000,62474000
CNYRUB_TOM,D,30/01/20,00:00:00,9.0000000,9.0819000,8.9921000,9.0780000,65189000
CNYRUB_TOM,D,31/01/20,00:00:00,9.0720000,9.1300000,9.0341000,9.1180000,162568000
CNYRUB_TOM,D,03/02/20,00:00:00,9.1080000,9.1330000,9.0530000,9.0659000,53598000
CNYRUB_TOM,D,04/02/20,00:00:00,9.0761000,9.0979000,8.9921000,8.9921000,197472000
CNYRUB_TOM,D,05/02/20,00:00:00,9.0090000,9.0370000,8.9654000,9.0280000,80090000
CNYRUB_TOM,D,06/02/20,00:00:00,9.0061000,9.0919000,8.9961000,9.0641000,47268000
CNYRUB_TOM,D,07/02/20,00:00:00,9.0739000,9.1679000,9.0590000,9.1275000,22754000
CNYRUB_TOM,D,10/02/20,00:00:00,9.1500000,9.2019000,9.1200000,9.1860000,59497000
CNYRUB_TOM,D,11/02/20,00:00:00,9.1491000,9.1859000,9.0800000,9.0875000,42722000
CNYRUB_TOM,D,12/02/20,00:00:00,9.0719000,9.0739000,9.0260000,9.0599000,36194000
CNYRUB_TOM,D,13/02/20,00:00:00,9.1000000,9.1339000,9.0800000,9.0800000,30763000
CNYRUB_TOM,D,14/02/20,00:00:00,9.0940000,9.1080000,9.0641000,9.0940000,48500000
CNYRUB_TOM,D,17/02/20,00:00:00,9.0919000,9.1039000,9.0521000,9.0801000,39779000
CNYRUB_TOM,D,18/02/20,00:00:00,9.0841000,9.1600000,9.0800000,9.1300000,56236000
CNYRUB_TOM,D,19/02/20,00:00:00,9.0961000,9.1099000,9.0600000,9.0600000,60460000
CNYRUB_TOM,D,20/02/20,00:00:00,9.0700000,9.1205000,9.0580000,9.1205000,217829000
CNYRUB_TOM,D,21/02/20,00:00:00,9.1153000,9.1600000,9.1000000,9.1059000,39088000
CNYRUB_TOM,D,25/02/20,00:00:00,9.2303000,9.3239000,9.2200000,9.2901000,68233000
CNYRUB_TOM,D,26/02/20,00:00:00,9.3180000,9.3470000,9.2520000,9.3100000,64011000
CNYRUB_TOM,D,27/02/20,00:00:00,9.3500000,9.4580000,9.3300000,9.4010000,147376000
CNYRUB_TOM,D,28/02/20,00:00:00,9.5552000,9.6769000,9.5164000,9.5780000,67702000
CNYRUB_TOM,D,02/03/20,00:00:00,9.5370000,9.6649000,9.5032000,9.5572000,65770000
CNYRUB_TOM,D,03/03/20,00:00:00,9.5280000,9.5479000,9.4250000,9.4860000,70282000
CNYRUB_TOM,D,04/03/20,00:00:00,9.5000000,9.5880000,9.4680000,9.5740000,88344000
CNYRUB_TOM,D,05/03/20,00:00:00,9.5250000,9.6595000,9.5192000,9.6428000,46724000
CNYRUB_TOM,D,06/03/20,00:00:00,9.7369000,9.8859000,9.7050000,9.8262000,59863000
CNYRUB_TOM,D,10/03/20,00:00:00,10.4020000,10.4809000,10.1600000,10.2780000,46348000
CNYRUB_TOM,D,11/03/20,00:00:00,10.2874000,10.4561000,10.2541000,10.4380000,43472000
CNYRUB_TOM,D,12/03/20,00:00:00,10.5849000,10.7459000,10.4559000,10.6059000,49879000
CNYRUB_TOM,D,13/03/20,00:00:00,10.5641000,10.5679000,10.3000000,10.3000000,42614000
CNYRUB_TOM,D,16/03/20,00:00:00,10.5336000,10.7221000,10.4701000,10.6680000,35761000
CNYRUB_TOM,D,17/03/20,00:00:00,10.5350000,10.7320000,10.4743000,10.7320000,64769000
CNYRUB_TOM,D,18/03/20,00:00:00,10.8358000,11.5300000,10.8341000,11.5300000,46324000
CNYRUB_TOM,D,19/03/20,00:00:00,11.3839000,11.5280000,11.0000000,11.0699000,78364000
CNYRUB_TOM,D,20/03/20,00:00:00,11.0181000,11.2200000,10.9311000,11.1920000,44552000
CNYRUB_TOM,D,23/03/20,00:00:00,11.3120000,11.3817000,11.1500000,11.1680000,208337000
CNYRUB_TOM,D,24/03/20,00:00:00,11.0759000,11.1679000,11.0451000,11.0570000,55805000
CNYRUB_TOM,D,25/03/20,00:00:00,11.0140000,11.1279000,10.8251000,10.9620000,70348000
CNYRUB_TOM,D,26/03/20,00:00:00,11.0840000,11.1079000,10.8600000,10.9800000,120649000
CNYRUB_TOM,D,27/03/20,00:00:00,10.9510000,11.1600000,10.9271000,11.1360000,71803000
CNYRUB_TOM,D,30/03/20,00:00:00,11.2660000,11.3219000,11.1391000,11.1580000,42113000
CNYRUB_TOM,D,31/03/20,00:00:00,11.1799000,11.1799000,10.9631000,11.0530000,19979000
CNYRUB_TOM,D,01/04/20,00:00:00,11.1239000,11.1579000,11.0600000,11.0700000,36108000
CNYRUB_TOM,D,02/04/20,00:00:00,10.8999000,11.3000000,10.8860000,10.8890000,218907000
CNYRUB_TOM,D,03/04/20,00:00:00,10.9282000,10.9320000,10.7500000,10.7500000,90251000
